Errors for Brill Tagger 'rules.yaml'

             left context |    word/test->gold     | right context
 to/TO expand/VB its/PRP$ |   functions/NN->NNS    | ''/'' in/IN Asia/NNP ,/, 
-NONE- J./NNP Michael/NNP |     Farren/NN->NNP     | ,/, undersecretary/NN of/
     ``/`` If/IN they/PRP |    approach/NN->VBP    | it/PRP with/IN a/DT benev
h/VBP it/PRP with/IN a/DT |   benevolent/NN->JJ    | ,/, altruistic/JJ attitud
IN a/DT benevolent/JJ ,/, |   altruistic/NN->JJ    | attitude/NN ,/, there/EX 
ere/EX will/MD be/VB a/DT |       net/NN->JJ       | gain/NN for/IN everyone/N
                  Some/DT |      Asian/NN->JJ      | nations/NNS are/VBP appre
an/JJ nations/NNS are/VBP |  apprehensive/NN->JJ   | about/IN Washington/NNP '
mand/NN that/IN Tokyo/NNP |      step/NN->VB       | up/RP its/PRP$ military/J
NP step/VB up/RP its/PRP$ |    military/NN->JJ     | spending/NN *-1/-NONE- to
nding/NN *-1/-NONE- to/TO |      ease/NN->VB       | the/DT U.S./NNP security/
sue/NN is/VBZ further/RBR |   complicated/IN->JJ   | *-1/-NONE- by/IN uncertai
IN the/DT U.S./NNP 's/POS |     leases/NN->NNS     | on/IN military/JJ bases/N
P 's/POS leases/NNS on/IN |    military/NN->JJ     | bases/NNS in/IN the/DT Ph
ses/NNS on/IN military/JJ |     bases/NN->NNS      | in/IN the/DT Philippines/
JJ bases/NNS in/IN the/DT | Philippines/NNP->NNPS  | and/CC by/IN a/DT possibl
                          |      Many/NN->JJ       | Asians/NNPS regard/VBP a/
                  Many/JJ |    Asians/NN->NNPS     | regard/VBP a/DT U.S./NNP 
      Many/JJ Asians/NNPS |     regard/NN->VBP     | a/DT U.S./NNP presence/NN
NP presence/NN as/IN a/DT |    desirable/NN->JJ    | counterweight/NN to/TO Ja
              ``/`` No/DT |       one/CD->NN       | wants/VBZ the/DT U.S./NNP
TO pick/VB up/RP its/PRP$ |    marbles/NN->NNS     | and/CC go/VB home/RB ,/, 
 marbles/NNS and/CC go/VB |      home/NN->RB       | ,/, ''/'' Mr./NNP Hormats
home/RB ,/, ''/'' Mr./NNP |    Hormats/NN->NNP     | says/VBZ *T*-1/-NONE- ./.
cted/VBN *-1/-NONE- to/TO |      step/NN->VB       | up/RP their/PRP$ own/JJ i
ecade/NN *-2/-NONE- to/TO |       try/NN->VB       | *-3/-NONE- to/TO slow/VB 
O try/VB *-3/-NONE- to/TO |      slow/JJ->VB       | the/DT Japanese/JJ jugger
B want/VB Japan/NNP to/TO |   monopolize/NN->VB    | the/DT region/NN and/CC s
B the/DT region/NN and/CC |       sew/NN->VB       | it/PRP up/RP ,/, ''/'' sa
n/NN and/CC sew/VB it/PRP |       up/IN->RP        | ,/, ''/'' says/VBZ *T*-1/
/'' says/VBZ *T*-1/-NONE- |   Chong-sik/NN->NNP    | Lee/NNP ,/, professor/NN 
T*-1/-NONE- Chong-sik/NNP |      Lee/NN->NNP       | ,/, professor/NN of/IN Ea
NP ,/, professor/NN of/IN |      East/NN->JJ       | Asian/JJ politics/NNS at/
rofessor/NN of/IN East/JJ |      Asian/NN->JJ      | politics/NNS at/IN the/DT
e/DT University/NNP of/IN |  Pennsylvania/NN->NNP  | ./.
                          |    Cathryn/NN->NNP     | Rice/NNP could/MD hardly/
              Cathryn/NNP |      Rice/NN->NNP      | could/MD hardly/RB believ
ryn/NNP Rice/NNP could/MD |     hardly/NN->RB      | believe/VB her/PRP$ eyes/
ce/NNP could/MD hardly/RB |    believe/VBP->VB     | her/PRP$ eyes/NNS ./.
d/MD hardly/RB believe/VB |     her/PRP->PRP$      | eyes/NNS ./.
ly/RB believe/VB her/PRP$ |      eyes/NN->NNS      | ./.
/-NONE- giving/VBG the/DT |  Comprehensive/NN->JJ  | Test/NN of/IN Basic/JJ Sk
ehensive/JJ Test/NN of/IN |      Basic/NN->JJ      | Skills/NNS to/TO ninth/JJ
JJ Test/NN of/IN Basic/JJ |     Skills/NN->NNS     | to/TO ninth/JJ graders/NN
Basic/JJ Skills/NNS to/TO |      ninth/NN->JJ      | graders/NNS at/IN Greenvi
Skills/NNS to/TO ninth/JJ |    graders/NN->NNS     | at/IN Greenville/NNP High
inth/JJ graders/NNS at/IN |   Greenville/NN->NNP   | High/NNP School/NNP last/
/NNS at/IN Greenville/NNP |      High/NN->NNP      | School/NNP last/JJ March/
N Greenville/NNP High/NNP |     School/NN->NNP     | last/JJ March/NNP 16/CD ,
rch/NNP 16/CD ,/, she/PRP |    spotted/NN->VBD     | a/DT student/NN looking/V
dent/NN looking/VBG at/IN |      crib/NN->JJ       | sheets/NNS ./.
          She/PRP had/VBD |      seen/NN->VBN      | cheating/NN before/RB ,/,
re/RB ,/, but/CC these/DT |     notes/NN->NNS      | were/VBD uncanny/JJ ./.
ese/DT notes/NNS were/VBD |     uncanny/NN->JJ     | ./.
ld/NNP War/NNP II/NNP ,/, |    Germany/NN->NNP     | surrendered/VBD before/IN
NP II/NNP ,/, Germany/NNP |  surrendered/NN->VBD   | before/IN Japan/NNP .../:
rmany/NNP surrendered/VBD |     before/RB->IN      | Japan/NNP .../: ./.
                   The/DT |  Senate-House/NN->JJ   | conference/NN committee/N
n/WRB a/DT bill/NN is/VBZ |     passed/NN->VBN     | *-3/-NONE- by/IN the/DT H
te/NNP in/IN different/JJ |     forms/NN->NNS      | *T*-2/-NONE- ./. ''/''
                          |    Virtually/NN->RB    | word/NN for/IN word/NN ,/
for/IN word/NN ,/, the/DT |     notes/NN->NNS      | matched/VBD questions/NNS
d/NN ,/, the/DT notes/NNS |    matched/NN->VBD     | questions/NNS and/CC answ
/DT notes/NNS matched/VBD |   questions/NN->NNS    | and/CC answers/NNS on/IN 
/VBD questions/NNS and/CC |    answers/NN->NNS     | on/IN the/DT social-studi
the/DT student/NN was/VBD |     taking/NN->VBG     | *T*-1/-NONE- ./.
student/NN had/VBD the/DT |    answers/NN->NNS     | to/TO almost/RB all/DT of
all/DT of/IN the/DT 40/CD |   questions/NN->NNS    | in/IN that/DT section/NN 
        The/DT student/NN |  surrendered/NN->VBD   | the/DT notes/NNS ,/, but/
NN surrendered/VBD the/DT |     notes/NN->NNS      | ,/, but/CC not/RB without
                    ``/`` |      My/NN->PRP$       | teacher/NN said/VBD 0/-NO
RP *EXP*-1/-NONE- was/VBD |       OK/NN->UH        | for/IN me/PRP to/TO use/V
ONE- was/VBD OK/UH for/IN |       me/NN->PRP       | to/TO use/VB the/DT notes
e/PRP to/TO use/VB the/DT |     notes/NN->NNS      | on/IN the/DT test/NN ,/, 
in/IN question/NN was/VBD |     Nancy/NN->NNP      | Yeargin/NNP --/: consider
tion/NN was/VBD Nancy/NNP |    Yeargin/NN->NNP     | --/: considered/VBN by/IN
sidered/VBN by/IN many/JJ |    students/NN->NNS    | and/CC parents/NNS */-NON
ny/JJ students/NNS and/CC |    parents/NN->NNS     | */-NONE- to/TO be/VB one/
               *-2/-NONE- |   Confronted/NN->VBN   | *-1/-NONE- ,/, Mrs./NNP Y
N *-1/-NONE- ,/, Mrs./NNP |    Yeargin/NN->NNP     | admitted/VBD 0/-NONE- she
 had/VBD given/VBN the/DT |   questions/NN->NNS    | and/CC answers/VBZ two/CD
e/DT questions/NNS and/CC |    answers/NN->VBZ     | two/CD days/NNS before/IN
amination/NN to/TO two/CD |   low-ability/NN->JJ   | geography/NN classes/NNS 
w-ability/JJ geography/NN |    classes/NN->NNS     | ./.
          She/PRP had/VBD |      gone/NN->VBN      | so/RB far/RB as/IN *-1/-N
RB as/IN *-1/-NONE- to/TO |     display/NN->VB     | the/DT questions/NNS on/I
- to/TO display/VB the/DT |   questions/NN->NNS    | on/IN an/DT overhead/JJ p
questions/NNS on/IN an/DT |    overhead/NN->JJ     | projector/NN and/CC under
ad/JJ projector/NN and/CC |    underline/NN->VB    | the/DT answers/NNS ./.
nd/CC underline/VB the/DT |    answers/NN->NNS     | ./.
                 Mrs./NNP |    Yeargin/NN->NNP     | was/VBD fired/VBN *-1/-NO
./NNP Yeargin/NNP was/VBD |     fired/VBD->VBN     | *-1/-NONE- and/CC prosecu
red/VBN *-1/-NONE- and/CC |   prosecuted/NN->VBN   | *-1/-NONE- under/IN an/DT
*-1/-NONE- under/IN an/DT |     unusual/NN->JJ     | South/NNP Carolina/NNP la
n/DT unusual/JJ South/NNP |    Carolina/NN->NNP    | law/NN that/WDT *T*-79/-N
olina/NNP law/NN that/WDT |   *T*-79/NN->-NONE-    | makes/VBZ it/PRP *EXP*-2/
T crime/NN */-NONE- to/TO |     breach/NN->VB      | test/NN security/NN ./.
September/NNP ,/, she/PRP |    pleaded/NN->VBD     | guilty/JJ and/CC paid/VBD
P ,/, she/PRP pleaded/VBD |     guilty/NN->JJ      | and/CC paid/VBD a/DT $/$ 
 Her/PRP$ story/NN is/VBZ |     partly/NN->RB      | one/NN of/IN personal/JJ 
story/NN is/VBZ partly/RB |       one/CD->NN       | of/IN personal/JJ downfal
    She/PRP was/VBD an/DT |   unstinting/NN->JJ    | teacher/NN who/WP *T*-80/
ting/JJ teacher/NN who/WP |   *T*-80/NN->-NONE-    | won/VBD laurels/NNS and/C
r/NN who/WP *T*-80/-NONE- |      won/NN->VBD       | laurels/NNS and/CC inspir
/WP *T*-80/-NONE- won/VBD |    laurels/NN->NNS     | and/CC inspired/VBD stude
on/VBD laurels/NNS and/CC |    inspired/NN->VBD    | students/NNS ,/, but/CC s
s/NNS and/CC inspired/VBD |    students/NN->NNS    | ,/, but/CC she/PRP will/M
l/MD probably/RB never/RB |      teach/NN->VB      | again/RB ./.
 her/PRP$ wake/NN she/PRP |     left/VBN->VBD      | the/DT bitterness/NN and/
nd/CC anger/NN of/IN a/DT |    principal/JJ->NN    | who/WP *T*-81/-NONE- was/
 a/DT principal/NN who/WP |   *T*-81/NN->-NONE-    | was/VBD her/PRP$ friend/N
N and/CC now/RB calls/VBZ |     her/PRP$->PRP      | a/DT betrayer/NN ;/: of/I
/DT betrayer/NN ;/: of/IN |   colleagues/NN->NNS   | who/WP *T*-82/-NONE- say/
/IN colleagues/NNS who/WP |   *T*-82/NN->-NONE-    | say/VBP 0/-NONE- she/PRP 
 say/VBP 0/-NONE- she/PRP |    brought/VBN->VBD    | them/PRP shame/NN ;/: of/
em/PRP shame/NN ;/: of/IN |    students/NN->NNS    | and/CC parents/NNS who/WP
of/IN students/NNS and/CC |    parents/NN->NNS     | who/WP *T*-83/-NONE- defe
and/CC parents/NNS who/WP |   *T*-83/NN->-NONE-    | defended/VBD her/PRP and/
/NNS who/WP *T*-83/-NONE- |    defended/NN->VBD    | her/PRP and/CC insist/VBP
T*-83/-NONE- defended/VBD |     her/PRP$->PRP      | and/CC insist/VBP 0/-NONE
 0/-NONE- she/PRP was/VBD |    treated/NN->VBN     | *-1/-NONE- harshly/RB ;/:
BD treated/VBN *-1/-NONE- |     harshly/NN->RB     | ;/: and/CC of/IN school-d
district/NN officials/NNS |     stunned/NN->JJ     | that/IN despite/IN the/DT
 officials/NNS stunned/JJ |      that/WDT->IN      | despite/IN the/DT bald-fa
that/IN despite/IN the/DT |   bald-faced/NN->JJ    | nature/NN of/IN her/PRP$ 
 nature/NN of/IN her/PRP$ |    actions/NN->NNS     | ,/, she/PRP became/VBD so
                 Mrs./NNP |    Yeargin/NN->NNP     | 's/POS case/NN also/RB ca
NP 's/POS case/NN also/RB |     casts/NN->VBZ      | some/DT light/NN on/IN th
/DT light/NN on/IN the/DT |      dark/NN->JJ       | side/NN of/IN school/NN r
e/WRB pressures/NNS on/IN |    teachers/NN->NNS    | are/VBP growing/VBG *T*-1
1/-NONE- and/CC where/WRB |   high-stakes/NN->JJ   | testing/NN has/VBZ enhanc
kes/JJ testing/NN has/VBZ |    enhanced/NN->VBN    | the/DT temptation/NN */-N
ptation/NN */-NONE- to/TO |      cheat/NN->VB      | *T*-2/-NONE- ./.
tute/NN 0/-NONE- Mrs./NNP |    Yeargin/NN->NNP     | violated/VBD *T*-1/-NONE-
ONE- Mrs./NNP Yeargin/NNP |    violated/NN->VBD    | *T*-1/-NONE- was/VBD desi
2/-NONE- *-3/-NONE- to/TO |     enforce/NN->VB     | provisions/NNS of/IN Sout
3/-NONE- to/TO enforce/VB |   provisions/NN->NNS   | of/IN South/NNP Carolina/
sions/NNS of/IN South/NNP |    Carolina/NN->NNP    | 's/POS school-improvement
h/NNP Carolina/NNP 's/POS | school-improvement/NN->JJ | laws/NNS ./.
POS school-improvement/JJ |      laws/NN->NNS      | ./.
                          |  Prosecutors/NN->NNS   | alleged/VBD that/IN she/P
          Prosecutors/NNS |    alleged/NN->VBD     | that/IN she/PRP was/VBD t
osecutors/NNS alleged/VBD |      that/WDT->IN      | she/PRP was/VBD trying/VB
ying/VBG *-1/-NONE- to/TO |     bolster/NN->VB     | students/NNS '/POS scores
1/-NONE- to/TO bolster/VB |    students/NN->NNS    | '/POS scores/NNS *-1/-NON
O bolster/VB students/NNS |       '/''->POS        | scores/NNS *-1/-NONE- to/
ter/VB students/NNS '/POS |     scores/NN->NNS     | *-1/-NONE- to/TO win/VB a
T state/NN 's/POS 1984/CD |   Education/NN->NNP    | Improvement/NNP Act/NNP .
POS 1984/CD Education/NNP |  Improvement/NN->NNP   | Act/NNP ./.
          The/DT bonus/NN |    depended/NN->VBD    | on/IN her/PRP$ ability/NN
/TO produce/VB higher/JJR |  student-test/NN->JJ   | scores/NNS ./.
igher/JJR student-test/JJ |     scores/NN->NNS     | ./.
    ``/`` There/EX is/VBZ |   incredible/NN->JJ    | pressure/NN *ICH*-2/-NONE
ool/NN systems/NNS and/CC |    teachers/NN->NNS    | */-NONE- to/TO raise/VB t
E- to/TO raise/VB test/NN |     scores/NN->NNS     | ,/, ''/'' says/VBZ *T*-1/
/'' says/VBZ *T*-1/-NONE- |      Walt/NN->NNP      | Haney/NNP ,/, an/DT educa
VBZ *T*-1/-NONE- Walt/NNP |     Haney/NN->NNP      | ,/, an/DT education/NN pr
fforts/NNS */-NONE- to/TO |      beat/VBP->VB      | the/DT tests/NNS are/VBP 
        And/CC *-1/-NONE- |     most/JJS->RBS      | disturbing/JJ ,/, it/PRP 
bing/JJ ,/, it/PRP is/VBZ |   educators/NN->NNS    | ,/, not/RB students/NNS ,
 educators/NNS ,/, not/RB |    students/NN->NNS    | ,/, who/WP *T*-84/-NONE- 
B students/NNS ,/, who/WP |   *T*-84/NN->-NONE-    | are/VBP blamed/VBN *-2/-N
                     A/DT |    50-state/NN->JJ     | study/NN released/VBN */-
A/DT 50-state/JJ study/NN |   released/VBD->VBN    | */-NONE- in/IN September/
in/IN September/NNP by/IN |    Friends/NN->NNPS    | for/IN Education/NNP ,/, 
by/IN Friends/NNPS for/IN |   Education/NN->NNP    | ,/, an/DT Albuquerque/NNP
N Education/NNP ,/, an/DT |  Albuquerque/NN->NNP   | ,/, N.M./NNP ,/, school-r
an/DT Albuquerque/NNP ,/, |      N.M./NN->NNP      | ,/, school-research/JJ gr
rque/NNP ,/, N.M./NNP ,/, | school-research/NN->JJ | group/NN ,/, concluded/VB
-research/JJ group/NN ,/, |   concluded/NN->VBD    | that/IN ``/`` outright/JJ
roup/NN ,/, concluded/VBD |      that/WDT->IN      | ``/`` outright/JJ cheatin
ncluded/VBD that/IN ``/`` |    outright/NN->JJ     | cheating/NN by/IN America
ting/NN by/IN American/JJ |   educators/NN->NNS    | ''/'' is/VBZ ``/`` common
roup/NN says/VBZ 0/-NONE- |  standardized/NN->JJ   | achievement/NN test/NN sc
JJ achievement/NN test/NN |     scores/NN->NNS     | are/VBP greatly/RB inflat
est/NN scores/NNS are/VBP |     greatly/NN->RB     | inflated/VBN because/IN t
es/NNS are/VBP greatly/RB |    inflated/NN->VBN    | because/IN teachers/NNS o
B inflated/VBN because/IN |    teachers/NN->NNS    | often/RB ``/`` teach/VBP 
achers/NNS often/RB ``/`` |     teach/NN->VBP      | the/DT test/NN ''/'' as/I
t/NN ''/'' as/IN Mrs./NNP |    Yeargin/NN->NNP     | did/VBD *?*/-NONE- ,/, al
        Evidence/NN of/IN |   widespread/NN->JJ    | cheating/NN has/VBZ surfa
ad/JJ cheating/NN has/VBZ |    surfaced/NN->VBN    | in/IN several/JJ states/N
aced/VBN in/IN several/JJ |     states/NN->NNS     | in/IN the/DT last/JJ year
                          |   California/NN->NNP   | 's/POS education/NN depar
ducation/NN department/NN |    suspects/NN->VBZ    | adult/NN responsibility/N
 responsibility/NN for/IN |    erasures/NN->NNS    | at/IN 40/CD schools/NNS t
0/CD schools/NNS that/WDT |   *T*-85/NN->-NONE-    | changed/VBD wrong/JJ answ
NS that/WDT *T*-85/-NONE- |    changed/VBN->VBD    | wrong/JJ answers/NNS to/T
*T*-85/-NONE- changed/VBD |      wrong/NN->JJ      | answers/NNS to/TO right/J
ONE- changed/VBD wrong/JJ |    answers/NN->NNS     | to/TO right/JJ ones/NNS o
rong/JJ answers/NNS to/TO |      right/NN->JJ      | ones/NNS on/IN a/DT state
nswers/NNS to/TO right/JJ |      ones/NN->NNS      | on/IN a/DT statewide/JJ t
ht/JJ ones/NNS on/IN a/DT |    statewide/NN->JJ    | test/NN ./.
                 After/IN |    numerous/NN->JJ     | occurrences/NNS of/IN que
     After/IN numerous/JJ |  occurrences/NN->NNS   | of/IN questionable/JJ tea
uestionable/JJ teacher/NN |      help/VB->NN       | to/TO students/NNS ,/, Te
 teacher/NN help/NN to/TO |    students/NN->NNS    | ,/, Texas/NNP is/VBZ revi
/NNS ,/, Texas/NNP is/VBZ |    revising/NN->VBG    | its/PRP$ security/NN prac
/VBG its/PRP$ security/NN |   practices/NN->NNS    | ./.
   And/CC sales/NNS of/IN |  test-coaching/NN->JJ  | booklets/NNS for/IN class
NS of/IN test-coaching/JJ |    booklets/NN->NNS    | for/IN classroom/NN instr
NN instruction/NN are/VBP |    booming/NN->VBG     | ./.
als/NNS ,/, including/VBG | Macmillan\/McGraw-Hill/NN->NNP | School/NNP Publishing/NNP
acmillan\/McGraw-Hill/NNP |     School/NN->NNP     | Publishing/NNP Co./NNP 's
cGraw-Hill/NNP School/NNP |   Publishing/NN->NNP   | Co./NNP 's/POS Scoring/NN
ishing/NNP Co./NNP 's/POS |    Scoring/NN->NNP     | High/NNP and/CC Learning/
o./NNP 's/POS Scoring/NNP |      High/NN->NNP      | and/CC Learning/NNP Mater
oring/NNP High/NNP and/CC |    Learning/NN->NNP    | Materials/NNPS --/: are/V
h/NNP and/CC Learning/NNP |   Materials/NN->NNPS   | --/: are/VBP nothing/NN s
nothing/NN short/JJ of/IN |  sophisticated/NN->JJ  | crib/NN sheets/NNS ,/, ac
G to/TO some/DT recent/JJ |    academic/NN->JJ     | research/NN ./.
E- using/VBG them/PRP ,/, |    teachers/NN->NNS    | --/: with/IN administrati
ative/JJ blessing/NN --/: |   telegraph/NN->VBP    | to/TO students/NNS before
 --/: telegraph/VBP to/TO |    students/NN->NNS    | beforehand/RB the/DT prec
ph/VBP to/TO students/NNS |   beforehand/NN->RB    | the/DT precise/JJ areas/N
/NNS beforehand/RB the/DT |     precise/NN->JJ     | areas/NNS on/IN which/WDT
hand/RB the/DT precise/JJ |     areas/NN->NNS      | on/IN which/WDT a/DT test
recise/JJ areas/NNS on/IN |     which/IN->WDT      | a/DT test/NN will/MD conc
/WDT a/DT test/NN will/MD |   concentrate/NN->VB   | *T*-1/-NONE- ,/, and/CC s
- ,/, and/CC sometimes/RB |      give/VBP->VB      | away/RP a/DT few/JJ exact
d/CC sometimes/RB give/VB |      away/RB->RP       | a/DT few/JJ exact/JJ ques
y/RP a/DT few/JJ exact/JJ |   questions/NN->NNS    | and/CC answers/NNS ./.
t/JJ questions/NNS and/CC |    answers/NN->NNS     | ./.
             Use/NN of/IN |    Scoring/NN->NNP     | High/NNP is/VBZ widesprea
 Use/NN of/IN Scoring/NNP |      High/NN->NNP      | is/VBZ widespread/JJ in/I
oring/NNP High/NNP is/VBZ |   widespread/NN->JJ    | in/IN South/NNP Carolina/
spread/JJ in/IN South/NNP |    Carolina/NN->NNP    | and/CC common/JJ in/IN Gr
NP and/CC common/JJ in/IN |   Greenville/NN->NNP   | County/NNP ,/, Mrs./NNP Y
n/JJ in/IN Greenville/NNP |     County/NN->NNP     | ,/, Mrs./NNP Yeargin/NNP 
P County/NNP ,/, Mrs./NNP |    Yeargin/NN->NNP     | 's/POS school/NN district
                          |    Experts/NN->NNS     | say/VBP 0/-NONE- there/EX
ry/NN where/WRB tests/NNS |      mean/NN->VBP      | as/RB much/JJ as/IN they/
re/WRB tests/NNS mean/VBP |       as/IN->RB        | much/JJ as/IN they/PRP do
 tests/NNS mean/VBP as/RB |      much/RB->JJ       | as/IN they/PRP do/VBP *?*
?*/-NONE- in/IN South/NNP |    Carolina/NN->NNP    | *T*-1/-NONE- ./.
IN the/DT state/NN 's/POS |   Education/NN->NNP    | Improvement/NNP Act/NNP ,
e/NN 's/POS Education/NNP |  Improvement/NN->NNP   | Act/NNP ,/, low/JJ test/N
ct/NNP ,/, low/JJ test/NN |     scores/NN->NNS     | can/MD block/VB students/
cores/NNS can/MD block/VB |    students/NN->NNS    | '/POS promotions/NNS or/C
/MD block/VB students/NNS |       '/''->POS        | promotions/NNS or/CC forc
ock/VB students/NNS '/POS |   promotions/NN->NNS   | or/CC force/VB entire/JJ 
/POS promotions/NNS or/CC |      force/NN->VB      | entire/JJ districts/NNS i
otions/NNS or/CC force/VB |     entire/NN->JJ      | districts/NNS into/IN wre
 or/CC force/VB entire/JJ |   districts/NN->NNS    | into/IN wrenching/JJ ,/, 
/JJ districts/NNS into/IN |    wrenching/NN->JJ    | ,/, state-supervised/JJ `
 into/IN wrenching/JJ ,/, | state-supervised/NN->JJ | ``/`` interventions/NNS '
state-supervised/JJ ``/`` | interventions/NN->NNS  | ''/'' that/WDT *T*-86/-NO
ntions/NNS ''/'' that/WDT |   *T*-86/NN->-NONE-    | can/MD mean/VB firings/NN
/WDT *T*-86/-NONE- can/MD |      mean/NN->VB       | firings/NNS ./.
-86/-NONE- can/MD mean/VB |    firings/NN->NNS     | ./.
                          |      High/NN->JJ       | test/NN scores/NNS ,/, on
          High/JJ test/NN |     scores/NN->NNS     | ,/, on/IN the/DT other/JJ
/VB recognition/NN and/CC |      extra/NN->JJ      | money/NN --/: a/IN new/JJ
CC extra/JJ money/NN --/: |        a/DT->IN        | new/JJ computer/NN lab/NN
for/IN a/DT school/NN ,/, |     grants/NN->NNS     | for/IN special/JJ project
nts/NNS for/IN special/JJ |    projects/NN->NNS    | ,/, a/DT bonus/NN for/IN 
         And/CC South/NNP |    Carolina/NN->NNP    | says/VBZ 0/-NONE- it/PRP 
                          |      Since/NN->IN      | the/DT reforms/NNS went/V
          Since/IN the/DT |    reforms/NN->NNS     | went/VBD in/IN place/NN ,
/, no/DT state/NN has/VBZ |    posted/VBD->VBN     | a/DT higher/JJR rate/NN o
provement/NN on/IN the/DT |   Scholastic/NN->NNP   | Aptitude/NNP Test/NNP tha
/IN the/DT Scholastic/NNP |    Aptitude/NN->NNP    | Test/NNP than/IN South/NN
holastic/NNP Aptitude/NNP |      Test/NN->NNP      | than/IN South/NNP Carolin
est/NNP than/IN South/NNP |    Carolina/NN->NNP    | *?*/-NONE- ,/, although/I
 the/DT state/NN still/RB |     posts/NN->VBZ      | the/DT lowest/JJS average
still/RB posts/VBZ the/DT |     lowest/NN->JJS     | average/JJ score/NN of/IN
sts/VBZ the/DT lowest/JJS |     average/NN->JJ     | score/NN of/IN the/DT abo
/IN the/DT about/IN 21/CD |     states/NN->NNS     | who/WP *T*-87/-NONE- use/
N 21/CD states/NNS who/WP |   *T*-87/NN->-NONE-    | use/VBP the/DT SAT/NNP as
/NNS who/WP *T*-87/-NONE- |      use/VB->VBP       | the/DT SAT/NNP as/IN the/
-87/-NONE- use/VBP the/DT |      SAT/NN->NNP       | as/IN the/DT primary/JJ c
e/DT SAT/NNP as/IN the/DT |     primary/NN->JJ     | college/NN entrance/NN ex
                          |    Critics/NN->NNS     | say/VBP 0/-NONE- South/NN
ay/VBP 0/-NONE- South/NNP |    Carolina/NN->NNP    | is/VBZ paying/VBG a/DT pr
T price/NN by/IN */-NONE- |   stressing/NN->VBG    | improved/VBN test/NN scor
/VBG improved/VBN test/NN |     scores/NN->NNS     | so/RB much/RB ./.
                          |    Friends/NN->NNPS    | of/IN Education/NNP rates
       Friends/NNPS of/IN |   Education/NN->NNP    | rates/VBZ South/NNP Carol
/NNPS of/IN Education/NNP |     rates/NNS->VBZ     | South/NNP Carolina/NNP on
n/NNP rates/VBZ South/NNP |    Carolina/NN->NNP    | one/CD of/IN the/DT worst
a/NNP one/CD of/IN the/DT |     worst/NN->JJS      | seven/CD states/NNS in/IN
the/DT worst/JJS seven/CD |     states/NN->NNS     | in/IN its/PRP$ study/NN o
N its/PRP$ study/NN on/IN |    academic/NN->JJ     | cheating/NN ./.
                          |      Says/NN->VBZ      | 0/-NONE- *ICH*-3/-NONE- t
S founder/NN ,/, John/NNP |    Cannell/NN->NNP     | ,/, */-NONE- prosecuting/
 Cannell/NNP ,/, */-NONE- |  prosecuting/NN->VBG   | Mrs./NNP Yeargin/NNP is/V
 prosecuting/VBG Mrs./NNP |    Yeargin/NN->NNP     | is/VBZ ``/`` a/DT way/NN 
DT way/NN for/IN 0/-NONE- | administrators/NN->NNS | to/TO protect/VB themselv
s/PRP *T*-4/-NONE- and/CC |      look/NN->VB       | like/IN they/PRP take/VBP
 look/VB like/IN they/PRP |      take/VB->VBP      | cheating/NN seriously/RB 
/PRP take/VBP cheating/NN |    seriously/NN->RB    | *T*-4/-NONE- ,/, when/WRB
VBP n't/RB take/VB it/PRP |    seriously/NN->RB    | at/IN all/DT *T*-1/-NONE-
                 Paul/NNP |    Sandifer/NN->NNP    | ,/, director/NN of/IN tes
N for/IN the/DT South/NNP |    Carolina/NN->NNP    | department/NN of/IN educa
says/VBZ 0/-NONE- Mr./NNP |    Cannell/NN->NNP     | 's/POS allegations/NNS of
r./NNP Cannell/NNP 's/POS |  allegations/NN->NNS   | of/IN cheating/NN ``/`` a
cheating/NN ``/`` are/VBP |     purely/NN->RB      | without/IN foundation/NN 
'' and/CC based/VBN on/IN |     unfair/NN->JJ      | inferences/NNS ./.
based/VBN on/IN unfair/JJ |   inferences/NN->NNS   | ./.
                          |     Partly/NN->RB      | because/IN of/IN worries/
artly/RB because/IN of/IN |    worries/NN->NNS     | about/IN potential/JJ abu
ll/MD begin/VB *-1/-NONE- |    keeping/NN->VBG     | closer/JJR track/NN of/IN
VB *-1/-NONE- keeping/VBG |     closer/NN->JJR     | track/NN of/IN achievemen
nt-test/NN preparation/NN |    booklets/NN->NNS    | next/JJ spring/NN ./.
                South/NNP |    Carolina/NN->NNP    | 's/POS reforms/NNS were/V
h/NNP Carolina/NNP 's/POS |    reforms/NN->NNS     | were/VBD designed/VBN *-1
or/IN schools/NNS like/IN |   Greenville/NN->NNP   | High/NNP School/NNP ./.
NS like/IN Greenville/NNP |      High/NN->NNP      | School/NNP ./.
N Greenville/NNP High/NNP |     School/NN->NNP     | ./.
               *-1/-NONE- |    Standing/NN->VBG    | on/IN a/DT shaded/JJ hill
- Standing/VBG on/IN a/DT |     shaded/NN->JJ      | hill/NN in/IN a/DT run-do
ded/JJ hill/NN in/IN a/DT |    run-down/NN->JJ     | area/NN of/IN this/DT old
 the/DT school/NN has/VBZ |    educated/NN->VBN    | many/JJ of/IN South/NNP C
N many/JJ of/IN South/NNP |    Carolina/NN->NNP    | 's/POS best/JJS and/CC br
NP 's/POS best/JJS and/CC |   brightest/NN->JJS    | ,/, including/VBG the/DT 
/NN 's/POS last/JJ two/CD |   governors/NN->NNS    | ,/, Nobel/NNP Prize/NNP w
